UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	2815
2	1686
0	3506
261	3507
3	2984
1	2687
1	2377
0	688
0	3505
1	1
0	13
0	22
0	22
0	4
1	12
0	0
0	2
0	2
1	0
0	0
0	3
0	0
0	0
0	0
0	0
1020	453
0	451
76	4893
3	4089
8	2606
0	2118
0	1081
0	1481
0	439
6	4011
0	0
0	0
0	0
0	0
0	0
1	78
0	1
0	3
0	3
0	2
0	2
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2704
0	3444
3	758
1	8955
2	4710
0	282
3	3199
9	0
0	1256
1	480
14	3658
0	2010
2	78
0	1289
0	8973
0	0
0	0
2	6583
2	9609
19	25529
4	27857
0	13762
1	3599
4	6466
0	3031
3	1581
0	22
0	0
0	0
3	1609
2	1497
0	1602
0	1602
0	0
0	0
0	0
0	0
0	4
0	2
0	3
0	0
0	0
0	2
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	1510
0	576
0	279
0	376
2	1496
0	1510
0	401
0	110
0	88
0	31
0	34
0	44
1	41
1	403
0	5766
0	5766
1	1
10	5770
1	10414
0	10406
0	10419
0	9751
0	5153
0	9328
0	10199
0	9129
0	9127
0	8549
0	5711
0	8353
0	8746
0	8729
0	8062
0	8262
0	9202
0	8640
0	7528
0	8202
0	8592
1	8557
0	8996
0	8141
0	8116
0	7717
0	8150
0	7740
0	8633
0	7867
0	8568
0	8453
0	8203
0	8713
0	3338
0	7638
0	7609
0	6341
0	7607
0	4961
0	7545
0	7553
0	7163
0	7634
0	7415
0	8043
0	7369
0	6638
