UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3878
2	2250
0	4661
269	4665
0	4086
7	3705
4	3320
0	905
0	4661
1	0
0	4
0	11
0	10
2	2
1	7
0	0
0	4
0	3
0	1
0	2
0	3
0	0
0	0
0	0
0	0
1077	428
0	424
63	4339
5	3676
4	2383
0	1898
0	938
0	1349
0	401
7	3556
0	0
0	0
0	0
0	0
0	0
0	76
0	2
0	5
0	5
0	4
0	4
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1947
0	2686
4	507
1	6770
0	3567
1	215
2	2249
8	0
0	863
9	345
12	2582
1	1444
11	72
1	1178
0	6784
0	0
0	0
0	4824
0	7051
17	18012
1	19569
0	9458
3	2377
3	4319
0	2049
6	1062
0	27
0	0
0	0
11	672
1	633
0	671
0	671
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	71
0	19
0	13
0	17
0	68
0	71
2	62117
90	15430
9	11931
4	4486
12	4133
12	5029
22	5407
15	62398
0	2708
0	2725
6	6
9	2701
0	5517
0	5493
0	5507
0	5278
0	2520
0	5067
0	5342
1	4881
0	4884
0	4604
0	2674
0	4385
0	4655
0	4598
0	4155
0	4258
0	4657
0	4435
0	3976
0	4213
0	4400
0	4351
0	4486
0	4190
0	4193
0	3920
0	4035
0	3966
0	4264
0	3870
0	4221
0	4194
0	4065
0	4307
3	1829
0	3860
0	3831
0	3312
0	3826
0	2425
2	3796
0	3811
0	3594
0	3708
0	3667
0	3931
0	3553
0	3466
