UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	3258
4	1783
0	3923
261	3924
2	3447
22	3159
19	2852
2	769
0	3922
1	1
0	15
0	20
0	20
7	8
0	6
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
1087	335
0	324
43	3380
7	2867
2	1782
0	1444
0	800
0	1000
0	324
4	2740
0	0
0	0
0	0
0	0
0	0
0	82
0	3
0	7
0	5
0	3
0	3
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2244
0	3296
5	661
7	8360
0	4406
2	286
2	2725
11	0
0	1028
11	415
14	3130
0	1781
5	63
1	1601
0	8369
0	0
0	0
3	4578
1	6704
19	16851
7	18317
2	8781
6	2187
1	4088
0	1940
4	973
0	27
0	0
0	0
10	890
0	841
1	890
0	890
0	0
0	0
0	0
2	0
0	1
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	268
0	88
0	52
0	58
1	268
0	268
1	435
1	125
0	93
0	30
2	42
0	49
0	35
0	435
0	2889
0	2923
2	5
29	2885
0	5739
0	5703
0	5741
0	5410
0	2619
0	5171
0	5569
0	4986
0	4980
0	4688
0	2845
0	4526
0	4688
0	4679
0	4269
0	4352
0	4852
0	4531
0	3950
0	4293
0	4481
0	4460
0	4758
0	4308
0	4280
0	4017
0	4277
0	4019
0	4453
0	4100
0	4503
0	4421
0	4312
0	4521
1	1871
0	3965
0	3953
0	3308
0	3943
0	2604
0	3919
0	3938
0	3719
0	3986
0	3818
0	4241
0	3828
0	3429
0	3954
0	4259
